250613	1020
250615	1018
250617	1015
250619	998
250621	969
250624	938
250626	902
250628	864
250630	824
250632	784
250634	741
250636	697
250638	653
250640	607
250642	562
250644	514
250646	467
250648	419
250650	372
250652	325
250654	278
250656	234
250658	198
250658	175
250660	158
250662	146
250664	140
250667	135
250669	130
250671	125
250673	120
250675	114
250677	109
250679	103
250681	98
250683	93
250685	87
250687	82
250689	77
250691	71
250693	66
250693	60
250695	55
250697	49
250699	44
250701	39
250703	34
250705	28
250707	23
250710	19
250712	16
250714	15
250716	12
250716	10
250718	7
250720	4
250722	2