461197	1020
461199	1019
461201	1017
461203	1014
461205	1007
461207	985
461209	964
461211	941
461213	913
461215	887
461217	858
461217	828
461219	801
461221	769
461223	737
461225	705
461228	674
461230	638
461232	603
461234	570
461236	532
461238	492
461240	455
461242	416
461244	377
461246	336
461248	294
461250	253
461252	218
461254	188
461256	169
461258	154
461260	144
461260	139
461262	134
461264	128
461266	123
461268	118
461271	112
461273	107
461275	101
461277	96
461279	91
461281	85
461283	80
461285	74
461287	68
461289	63
461291	57
461291	52
461293	46
461295	40
461297	34
461299	29
461301	23
461303	19
461305	17
461307	15
461309	13
461312	10
461314	8
461314	6
461316	4
461318	2