665155	1
665157	2
665159	3
665161	4
665163	5
665165	5
665167	6
665169	7
665169	7
665171	8
665174	9
665176	10
665178	10
665180	11
665182	12
665184	13
665186	14
665188	15
665188	16
665190	17
665192	18
665194	19
665196	21
665198	25
665200	28
665202	32
665204	36
665206	41
665208	45
665210	49
665210	54
665212	59
665214	64
665217	69
665219	75
665221	80
665223	86
665225	92
665227	98
665229	104
665231	111
665233	117
665235	124
665237	131
665239	138
665239	145
665241	164
665243	195
665245	252
665247	327
665249	406
665251	483
665253	563
665255	642
665257	720
665260	802
665262	879
665264	960
665266	1016