290873	1
290875	1
290877	2
290879	2
290881	3
290883	3
290883	4
290885	4
290887	5
290889	5
290891	5
290893	6
290895	6
290897	7
290899	8
290899	8
290902	9
290904	10
290906	11
290908	12
290910	13
290912	14
290914	15
290916	16
290918	17
290920	18
290920	19
290922	22
290924	25
290926	29
290928	33
290930	37
290932	41
290934	46
290936	51
290938	55
290940	61
290942	67
290942	72
290945	78
290947	84
290949	91
290951	97
290953	104
290955	112
290957	119
290959	126
290961	134
290963	142
290965	156
290967	185
290969	241
290971	319
290973	404
290975	487
290975	577
290977	663
290979	753
290981	842
290983	934
290985	1012